Postal Code,x,y,inseecode,place,population,density
1400,-0.109745495,0.7467118,1001,L'Abergement-Clémenciat,579,36
1640,-0.10404809,0.7433976,1002,L'Abergement-de-Varey,159,17
1090,-0.111286946,0.74572754,1003,Amareins,0,0
1500,-0.104951024,0.74262273,1004,Ambérieu-en-Bugey,10455,425
1330,-0.11026309,0.7441351,1005,Ambérieux-en-Dombes,1156,73
1300,-0.10233062,0.73880714,1006,Ambléon,76,13
1500,-0.104850315,0.74349034,1007,Ambronay,1996,59
1500,-0.105185404,0.74235684,1008,Ambutrix,595,114
1300,-0.10162863,0.7396069,1009,Andert-et-Condon,262,38
1350,-0.09949245,0.74142003,1010,Anglefort,687,23
1100,-0.10073456,0.7466843,1011,Apremont,341,23
1110,-0.103045225,0.7432826,1012,Aranc,291,13
1230,-0.10344414,0.74156994,1013,Arandas,128,9
1100,-0.10025716,0.7482428,1014,Arbent,3369,143
1300,-0.10175825,0.7384499,1015,Arbignieu,387,30
1190,-0.10847984,0.75213236,1016,Arbigny,314,18
1230,-0.10337803,0.74214846,1017,Argis,405,52
1510,-0.10233622,0.74056524,1019,Armix,14,2
1480,-0.11130065,0.74396914,1021,Ars-sur-Formans,851,155
1510,-0.10089554,0.74069655,1022,Artemare,961,256
1570,-0.10964987,0.75080764,1023,Asniéres-sur-Saéne,68,15
1340,-0.10647317,0.74866486,1024,Attignat,1776,95
1380,-0.10899462,0.7495542,1025,Bégé-la-Ville,1959,49
1380,-0.109229006,0.74928933,1026,Bégé-le-Chétel,751,853
1360,-0.108203195,0.7409539,1027,Balan,1668,92
1990,-0.110015936,0.7461582,1028,Baneins,377,42
1270,-0.10503938,0.75054884,1029,Beaupont,422,30
1810,-0.101152726,0.747464,1031,Bellignat,3233,413
1360,-0.10793315,0.741508,1032,Béligneux,2319,174
1200,-0.09904242,0.7445926,1033,Bellegarde-sur-Valserine,11153,731
1300,-0.101290375,0.7389832,1034,Belley,7807,348
1130,-0.09935557,0.74726367,1035,Belleydoux,232,13
1470,-0.10357634,0.7404132,1037,Bénonces,249,16
1370,-0.10497579,0.74936825,1038,Bény,587,32
1350,-0.10035606,0.7400509,1039,Béon,348,34
1340,-0.107695125,0.7502773,1040,Béréziat,308,28
1500,-0.104783796,0.7423102,1041,Bettant,703,209
1290,-0.11040275,0.74796593,1042,Bey,195,70
1700,-0.10940974,0.7410989,1043,Beynost,3141,295
1200,-0.09950687,0.7440576,1044,Billiat,396,29
1330,-0.108764075,0.7430735,1045,Birieux,125,8
1290,-0.10940493,0.7478439,1046,Biziat,574,50
1150,-0.106359065,0.74102867,1047,Blyes,535,57
1250,-0.103914835,0.7463132,1048,Bohas,0,0
1120,-0.108972795,0.7413394,1049,La Boisse,2419,257
1190,-0.10825729,0.7506383,1050,Boissey,206,23
1450,-0.10284907,0.746777,1051,Bolozon,93,19
1330,-0.10902568,0.74427795,1052,Bouligneux,274,11
1000,-0.10604544,0.74714804,1053,Bourg-en-Bresse,40972,1717
1800,-0.10729591,0.74172527,1054,Bourg-Saint-Christophe,716,80
1100,-0.100888096,0.74802035,1055,Bouvent,0,0
1640,-0.103380136,0.74390703,1056,Boyeux-Saint-Jéréme,241,14
1190,-0.1094156,0.7510726,1057,Boz,352,48
1300,-0.102324225,0.7370491,1058,Brégnier-Cordon,511,46
1260,-0.10053358,0.7421209,1059,Brénaz,95,10
1110,-0.101711154,0.74430335,1060,Brénod,385,16
1360,-0.10813414,0.74153197,1062,Bressolles,480,62
1470,-0.10387692,0.7395686,1064,Briord,618,50
1310,-0.10704404,0.7472663,1065,Buellas,1162,114
1510,-0.1025374,0.740588,1066,La Burbanche,60,6
1430,-0.10281425,0.7453077,1067,Ceignes,160,16
1450,-0.10328077,0.7447748,1068,Cerdon,672,55
1240,-0.10558183,0.74592066,1069,Certines,916,58
1090,-0.110922426,0.74538916,1070,Cesseins,0,0
1170,-0.09563681,0.74803215,1071,Cessy,1763,276
1250,-0.10491436,0.74642915,1072,Ceyzériat,2058,220
1350,-0.10055737,0.74007326,1073,Ceyzérieu,766,39
1320,-0.10705598,0.7437491,1074,Chalamont,1476,45
1480,-0.11139401,0.7448607,1075,Chaleins,754,44
1230,-0.10274262,0.7423691,1076,Chaley,107,23
1450,-0.10318141,0.7456426,1077,Challes,193,25
1630,-0.09708356,0.7458439,1078,Challex,967,112
1260,-0.10103213,0.74129754,1079,Champagne-en-Valromey,667,37
1110,-0.10180898,0.7434354,1080,Champdor,459,26
1410,-0.09885177,0.7463292,1081,Champfromier,440,14
1420,-0.09963446,0.7429001,1082,Chanay,410,23
1990,-0.11065127,0.7459428,1083,Chaneins,478,38
1400,-0.10827698,0.7471206,1084,Chanoz-Chétenay,476,35
1240,-0.10852056,0.7450968,1085,La Chapelle-du-Chételard,247,18
1260,-0.10157024,0.7419437,1086,Charancin,0,0
1130,-0.10048323,0.7462168,1087,Charix,261,14
1800,-0.10672716,0.74136496,1088,Charnoz-sur-Ain,416,63
1500,-0.105519466,0.7429819,1089,Chéteau-Gaillard,1027,64
1320,-0.1065867,0.74428,1090,Chétenay,276,18
1200,-0.09937925,0.7452153,1091,Chétillon-en-Michaille,2189,58
1320,-0.106121406,0.7430524,1092,Chétillon-la-Palud,874,62
1400,-0.10921607,0.74606085,1093,Chétillon-sur-Chalaronne,3786,211
1190,-0.10815247,0.7515059,1094,Chavannes-sur-Reyssouze,565,34
1250,-0.10351499,0.7480259,1095,Chavannes-sur-Suran,419,19
1660,-0.10787748,0.7470726,1096,Chaveyriat,766,45
1510,-0.10086333,0.7409858,1097,Chavornay,175,23
1300,-0.10122581,0.73956186,1098,Chazey-Bons,684,65
1150,-0.10625722,0.7418959,1099,Chazey-sur-Ain,895,41
1510,-0.10196635,0.7402306,1100,Cheignieu-La-Balme,110,18
1430,-0.10181348,0.7451941,1101,Chevillard,137,21
